Transaction Number,Date,Description ,Memo,Category,Transaction Amount,Balance,Temp 1
31699,03/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$438,995.69",Recurring
31700,03/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$430,932.81",Recurring
31702,03/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$430,929.56",Occaisional
31704,03/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$424,429.56",Recurring
31701,03/14/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$424,026.56",Occaisional
31705,03/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$394,000.21",Recurring
31706,03/16/2017,DEBIT PURCHASE,Underwater Music Festival,Entertainment,"-$21,856.96","$372,143.25",Occaisional
101591,03/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$422,143.25",Recurring
31703,03/17/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$25.14,"$422,118.11",Occaisional
31709,03/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$421,219.79",Recurring
31708,03/21/2017,DEBIT PURCHASE,Flame Protection Manicure,Clothing & Personal ,-$62.39,"$421,157.41",Occaisional
31690,03/21/2017,DEBIT PURCHASE,Pooch Pedometer,Pets,-$65.02,"$421,092.39",Occaisional
31710,03/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$408,726.44",Recurring
31711,03/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$403,365.12",Recurring
31714,03/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$394,705.64",Recurring
31713,03/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$392,198.65",Recurring
31692,03/24/2017,DEBIT PURCHASE,The Yurt at Solitude,Food & Dining,-$365.87,"$391,832.78",Occaisional
31716,03/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$389,527.57",Recurring
31715,03/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$373,177.25",Recurring
31689,03/25/2017,DEBIT PURCHASE,5d printer,Shopping,"-$70,032.86","$303,144.39",Occaisional
31718,03/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$300,578.02",Recurring
31717,03/26/2017,DEBIT PURCHASE,"Deadpool 3, Private Show",Entertainment,-$654.13,"$299,923.89",Occaisional
31722,04/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$194,861.54",Recurring
31723,04/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$184,804.67",Recurring
31724,04/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$181,957.80",Recurring
31728,04/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$163,594.93",Recurring
31730,04/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$160,441.28",Recurring
31729,04/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$17,325.36","$143,115.92",Recurring
101526,04/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$5,715.26","$148,831.18",Recurring
31736,04/06/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$148,428.18",Occaisional
31731,04/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$3,756.89","$144,671.29",Recurring
31733,04/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$143,319.27",Recurring
31732,04/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$132,993.64",Recurring
101564,04/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$202,993.64",Recurring
31734,04/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$192,493.12",Recurring
31735,04/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$184,430.24",Recurring
31737,04/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$184,426.99",Occaisional
31739,04/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$177,926.99",Recurring
31740,04/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$147,900.64",Recurring
101552,04/15/2017,DIRECT DEPOSIT,Trust Fund Stock,Dividends,"$736,532.01","$884,432.65",Recurring
31741,04/16/2017,DEBIT PURCHASE,World Bog Snorkelling Championships,Entertainment,"-$7,238.96","$877,193.69",Occaisional
101592,04/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$927,193.69",Recurring
31754,04/19/2017,DEBIT PURCHASE,Peleton Bike for two,Health & Fitness,"-$7,508.88","$919,684.81",Occaisional
31747,04/20/2017,DEBIT PURCHASE,Masa,Food & Dining,-$997.35,"$918,687.46",Occaisional
31727,04/20/2017,DEBIT PURCHASE,Harvey Washbangers,Food & Dining,-$189.89,"$918,497.57",Occaisional
31744,04/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$917,599.25",Recurring
31743,04/21/2017,DEBIT PURCHASE,Formula 1 bow tie,Clothing & Personal ,-$32.55,"$917,566.70",Occaisional
31745,04/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$905,200.75",Recurring
31725,04/22/2017,DEBIT PURCHASE,"Dance of the Mole Men, Limited Edition",Shopping,"-$10,332.86","$894,867.89",Occaisional
31746,04/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$889,506.57",Recurring
31726,04/23/2017,DEBIT PURCHASE,Zero Gravity Collar,Pets,-$724.12,"$888,782.45",Occaisional
31749,04/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$880,122.97",Recurring
31748,04/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$877,615.98",Recurring
31742,04/24/2017,DEBIT PURCHASE,Post Office Pies,Food & Dining,-$95.64,"$877,520.34",Occaisional
31751,04/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$875,215.13",Recurring
31750,04/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$858,864.81",Recurring
31755,04/26/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$858,462.31",Occaisional
31753,04/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$855,895.94",Recurring
31752,04/27/2017,DEBIT PURCHASE,"Beyonce, Private Show",Entertainment,"-$25,006.35","$830,889.59",Occaisional
31738,04/27/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$98.36,"$830,791.23",Occaisional
31757,05/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$725,728.88",Recurring
31758,05/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$715,672.01",Recurring
31763,05/03/2017,DEBIT PURCHASE,ICHIRAN,Food & Dining,-$89.64,"$715,582.37",Occaisional
31759,05/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$712,735.50",Recurring
31760,05/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$694,372.63",Recurring
31771,05/05/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$693,969.63",Occaisional
31765,05/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$690,815.98",Recurring
31764,05/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$26,789.54","$664,026.44",Recurring
101527,05/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$6,825.23","$670,851.67",Recurring
31766,05/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$2,789.98","$668,061.69",Recurring
31768,05/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$666,709.67",Recurring
31767,05/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$656,384.04",Recurring
101565,05/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$726,384.04",Recurring
31769,05/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$715,883.52",Recurring
31761,05/10/2017,DEBIT PURCHASE,Renault F1 Team Collection Chess Set,Shopping,"-$38,023.35","$677,860.17",Occaisional
31773,05/12/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$425.65,"$677,434.52",Occaisional
31770,05/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$669,371.64",Recurring
31772,05/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$669,368.39",Occaisional
31774,05/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$662,868.39",Recurring
31775,05/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$632,842.04",Recurring
31776,05/16/2017,DEBIT PURCHASE,Electric Air Guitar Lessons,Entertainment,"-$5,238.99","$627,603.05",Occaisional
101593,05/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$677,603.05",Recurring
31779,05/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$676,704.73",Recurring
31778,05/21/2017,DEBIT PURCHASE,Hair rustproofing,Clothing & Personal ,-$995.11,"$675,709.62",Occaisional
31777,05/21/2017,DEBIT PURCHASE,Arbies,Food & Dining,-$13.62,"$675,696.00",Occaisional
31780,05/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$663,330.05",Recurring
31790,05/23/2017,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$662,927.55",Occaisional
31781,05/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$657,566.23",Recurring
31784,05/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$648,906.75",Recurring
31783,05/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$646,399.76",Recurring
31782,05/24/2017,DEBIT PURCHASE,The Magic Castle ,Food & Dining,-$181.37,"$646,218.39",Occaisional
31787,05/25/2017,DEBIT PURCHASE,Secret Superstar Premier,Entertainment,-$895.11,"$645,323.28",Occaisional
31786,05/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$643,018.07",Recurring
31785,05/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$626,667.75",Recurring
31788,05/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$624,101.38",Recurring
31762,05/28/2017,DEBIT PURCHASE,Space Walk Trial Run,Pets,"-$12,385.03","$611,716.35",Occaisional
31792,06/01/2017,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$105,062.35","$506,654.00",Recurring
31793,06/02/2017,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$10,056.87","$496,597.13",Recurring
31794,06/03/2017,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,846.87","$493,750.26",Recurring
31797,06/04/2017,DEBIT PURCHASE,"Guy Savoy, Paris (Groupon) ",Food & Dining,-$126.89,"$493,623.37",Occaisional
31795,06/04/2017,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$18,362.87","$475,260.50",Recurring
31812,06/05/2017,DEBIT PURCHASE,Tongabezi Lodge,Food & Dining,"-$2,367.98","$472,892.52",Occaisional
31799,06/05/2017,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$3,153.65","$469,738.87",Recurring
31798,06/05/2017,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$35,025.52","$434,713.35",Recurring
101528,06/05/2017,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$7,935.20","$442,648.55",Recurring
31801,06/06/2017,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$6,752.65","$435,895.90",Recurring
31803,06/07/2017,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$434,543.88",Recurring
31802,06/07/2017,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$424,218.25",Recurring
101566,06/07/2017,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$494,218.25",Recurring
31804,06/09/2017,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$483,717.73",Recurring
31805,06/12/2017,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$475,654.85",Recurring
31807,06/13/2017,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$475,651.60",Occaisional
31817,06/14/2017,DEBIT PURCHASE,Rattlesnake Saloon,Food & Dining,-$385.45,"$475,266.15",Occaisional
31809,06/14/2017,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$468,766.15",Recurring
31808,06/14/2017,DEBIT PURCHASE,Taco Shack,Food & Dining,-$37.85,"$468,728.30",Occaisional
31810,06/15/2017,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$438,701.95",Recurring
31806,06/15/2017,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$438,298.95",Occaisional
31811,06/16/2017,DEBIT PURCHASE,Finland Air Guitar World Championship,Entertainment,"-$2,387.64","$435,911.31",Occaisional
101594,06/16/2017,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$485,911.31",Recurring
31800,06/18/2017,DEBIT PURCHASE,Doggie Tea Party,Pets,"-$1,021.33","$484,889.98",Occaisional
31824,06/21/2017,DEBIT PURCHASE,Dance of the MoleMen lessons,Health & Fitness,"-$3,205.57","$481,684.41",Occaisional
31814,06/21/2017,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$480,786.09",Recurring
31813,06/21/2017,DEBIT PURCHASE,Metal Man designer pajamas,Clothing & Personal ,-$825.57,"$479,960.52",Occaisional
31815,06/22/2017,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$467,594.57",Recurring
31816,06/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$462,233.25",Recurring
31819,06/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$453,573.77",Recurring
31818,06/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$451,066.78",Recurring
